branch_id,branch_name
ET0010995,GORO GEBREL BRANCH
ET0010708,GORO MENAHERIA BRANCH
ET0010419,GORO SEFERA BRANCH
ET0010023,GOTERA BRANCH
ET0010184,GOTERA MASALECHA BRANCH
ET0010184,GOTERA MASSALECHA
ET0010809,GOZAMEN BRANCH
ET0010463,GRAND GATO BRANCH
ET0010830,GUBRE BRANCH
ET0010732,GUDETU ARJO BRANCH
ET0010005,GUENET BRANCH
ET0010825,GUGUFTU BRANCH
ET0010030,GULELE BRANCH
ET0010573,GULLELE FINANS BRANCH
ET0010562,GUNCHIRE BRANCH
ET0010930,GURAFERDA BRANCH
ET0010682,GURARA BRANCH
ET0010126,GURD SHOLA
ET0010126,GURD SHOLA BRANCH
ET0010020,Gofa Branch
ET0010257,Gonder Maraki Branch
ET0010005,Guenet Branch
ET0010187,HABESHA CORPORATE BR
ET0010518,HABRO BRANCH
ET0010127,HADDIS ALEMAYEHU
ET0010651,HADERO BRANCH
ET0010260,HADINET BRANCH
ET0010268,HADIYA BRANCH
ET0010764,HADJI MOHAMMED OGS BR
ET0010176,HAFAT-ISSA BRANCH
ET0010491,HAGERE SELAM BRANCH
ET0010319,HAIK BRANCH
ET0010685,HAILE GARMENT BRANCH
ET0010857,HAILE MARIAM MAMO BR
ET0010607,HAKIM GARA BRANCH
ET0010360,HALABA KULITO BRANCH
ET0010475,HALAL BRANCH
ET0010856,HALOLIE BRANCH
ET0010555,HAMDA DIKSIS BRANCH
ET0010669,HAMUSIT BRANCH
ET0010412,HANA MARIAM N02 BRANCH
ET0010211,HANNA MARIAM BRANCH
ET0010940,HANNA SEFERA BRANCH
ET0010282,HAPTE-SELASSIE TAFESSE
ET0010784,HARA BRANCH
ET0010251,HARAMAYA BRANCH
ET0010621,HARAMAYA CAMPUS BR
ET0010460,HARAR ARATEGNA BR
ET0010045,HARAR BRANCH
ET0010533,HARBU BRANCH
ET0010934,HARBU GUBA BRANCH
ET0010551,HARO KOKA BRANCH
ET0010639,HART SHEIK BRANCH
ET0010960,HARUFA BRANCH
ET0010381,HASSASA BRANCH
ET0010147,HAWASSA ARAB SEFER BR
ET0010372,HAWZIEN BRANCH
ET0010838,HAYA ARAT BRANCH
ET0010125,HAYAHULETE MAZORIA BR
ET0010839,HAYU BRANCH
ET0010609,HERMATA BRANCH
ET0010479,HIJIRA BRANCH
ET0010374,HILAL BRANCH
ET0010339,HIRNA BRANCH
ET0010249,HOLETA BRANCH
ET0010687,HOSSAENA ARADA BRANCH
ET0010040,HOSSAINA BRANCH
ET0010904,HOTIE BRANCH
ET0010048,HUMERA BRANCH
ET0010383,HURUTA BRANCH
ET0010187,Habesha Corporate Branch
ET0010260,Hadinet Branch
ET0010045,Harar Branch
ET0010008,Hawassa Branch
ET0010040,Hossaina Branch
ET0010851,ILRI BRANCH
ET0010851,ILRI Branch
ET0010116,IMPERIAL AREA BRANCH
ET0010154,INJIBARA BRANCH
ET0010478,INT BANKING SPECIAL BR
ET0010877,JAKROS BRANCH
ET0010227,JAMA BRANCH
ET0010362,JANMEDA BRANCH
ET0010796,JANTEKEL BRANCH
ET0010755,JARA BRANCH
ET0010114,JAWI BRANCH
ET0010729,JEBA-SUB BRANCH
ET0010571,JEGOL BRANCH
ET0010736,JEHEDIN BRANCH
ET0010582,JEMIUEL KHEIRART BR
ET0010700,JEMO 3 BRANCH
ET0010076,JEMO BRANCH
ET0010365,JEMO ERTU BRANCH
ET0010390,JEMO MICHAEL BRANCH
ET0010700,JEMO_03_BRANCH
ET0010843,JEMU-SUB BRANCH
ET0010725,JENELA BRANCH
ET0010748,JERER BRANCH
ET0010696,JIGA BRANCH
ET0010066,JIJIGA BRANCH
ET0010884,JIMMA BER BRANCH
ET0010013,JIMMA BRANCH
ET0010089,JINKA BRANCH
ET0010887,JIREN BRANCH
ET0010785,KAJIMA BRANCH
ET0010855,KALAKORMA BRANCH
ET0010805,KALITY 08 BRANCH
ET0010024,KALITY BRANCH
ET0010741,KALITY GUMURUK BRANCH
ET0010482,KALITY MASELTEGNA BR
ET0010094,KALITY MENAHERIA BR
ET0010706,KALLU BRANCH
ET0010281,KARA BRANCH
ET0010441,KARA MAZORIA BRANCH
ET0010087,KARAKORE BRANCH
ET0010815,KARAMARA BRANCH
ET0010644,KARAT BRANCH
ET0010441,KARA_MAZORIYA BRANCH
ET0010744,KAWO TONA BRANCH
ET0010065,KAZANCHIS BRANCH
ET0010594,KAZANCHIS TOTAL BRANCH
ET0010086,KAZMACH TESFA GSELASIE
ET0010209,KEBENA BRANCH
ET0010932,KEBRI BEYAH BRANCH
ET0010515,KEBRI-DEHAR BRANCH
ET0010633,KECHEMA BRANCH
ET0010237,KECHENE BRANCH
ET0010262,KEDAMAY WEYANE BRANCH
ET0010262,KEDAMAY WOYANE BRACNH
ET0010848,KELAFO BRANCH
ET0010648,KELALA BRANCH
ET0010317,KEMISSIE BRANCH
ET0010507,KENENISA BEKELE BRANCH
ET0010220,KERA BRANCH
ET0010678,KEREYU BRANCH
ET0010631,KERSA BRANCH
ET0010578,KESATE BERHAN BRANCH
ET0010758,KETA BRANCH
ET0010913,KEZIRA BRANCH
ET0010309,KIDIST MARIAM BRANCH
ET0010177,KIDIST SELASSIE BRANCH
ET0010284,KIDUS AMANUEL BRANCH
ET0010172,KIDUS PAULOS BRANCH
ET0010131,KIDUS YARED BRANCH
ET0010773,KILINTO BRANCH
ET0010525,KILTU DAMA BRANCH
ET0010564,KIRKOS BRANCH
ET0010226,KOBO BRANCH
ET0010545,KOLADEBA BRANCH
ET0010325,KOLFE 18 BRANCH
ET0010199,KOLFE BRANCH
ET0010253,KOLFE MESHAGERIA BR
ET0010946,KOLLA SHELLE BRANCH
ET0010080,KOMBOLCHA BRANCH
ET0010386,KOREM BRANCH
ET0010653,KOSOBER BRANCH
ET0010078,KOTEBE BRANCH
ET0010699,KOTEBE KIDANE-MIHERET
ET0010681,KOTEBE WELGEMO BRANCH
ET0010681,KOTEBE WOLGEMO BRANCH
ET0010923,KOTETINA BRANCH
ET0010925,KOYE FECHE BRANCH
ET0010271,KUCH BRANCH
ET0010600,KUJA BRANCH
ET0010606,KULUBI BRANCH
ET0010425,KUMBABE BRANCH
ET0010710,KURFA MARIAM BRANCH
ET0010619,KURKURA BRANCH
ET0010712,KUTABER BRANCH
ET0010659,KUY BRANCH
ET0010086,Kegnazmach Tesfa G/Silassie
ET0010309,Kideste Mariyam Branch
ET0010402,LACHI BRANCH
ET0010911,LACOMELZA BRANCH
ET0010037,LAFTO BRANCH
ET0010577,LAFTO CONDOMINIUM BR
ET0010259,LAFTO MEBRAT AREA BR
ET0010911,LAKOMELZA BRANCH
ET0010328,LALIBELA BRANCH
ET0010032,LAMBERET BRANCH
ET0010379,LAMBERET MENEHARIA BR
ET0010836,LANCHA BRANCH
ET0010589,LAZARIST BRANCH
ET0010123,LEBU BRANCH
ET0010944,LEBU ERTU BRANCH
ET0010436,LEBU MEDHANIALEM BR
ET0010611,LEBU MUZIKA SEFER BR
ET0010657,LEBU SAFEWAY BRANCH
ET0010876,LEFE ISSA BRANCH
ET0010361,LEGA ODA BRANCH
ET0010361,LEGEODA BRANCH
ET0010110,LEGETAFO BRANCH
ET0010649,LEKU BRANCH
ET0010612,LEKUANDA TERA BRANCH
ET0010435,LEMI BRANCH
ET0010698,LEMI KURA BRANCH
ET0010095,LIDETA BRANCH
ET0010658,LIGUAMA BRANCH
ET0010543,LIKOT BEWERABE BRANCH
ET0010449,LIMU BRANCH
ET0010133,LOGIA BRANCH
ET0010266,LOMI MEDA BRANCH
ET0010752,LUGO BRANCH
ET0010223,LUMAME BRANCH
ET0010480,LUMIE BRANCH
ET0010657,Lebu Safeway Branch
ET0010403,MAI KADRA BRANCH
ET0010344,MAICHEW BRANCH
ET0010466,MAJETIE BRANCH
ET0010663,MAKSEGNIT BRANCH
ET0010357,MANBUK BRANCH
ET0010661,MANKUSA BRANCH
ET0010731,MASHREQ BRANCH
ET0010816,MATAR BRANCH
ET0010893,MEBRAT HAYL CONDOM BR
ET0010955,MECCA BRANCH
ET0010234,MECHA BRANCH
ET0010523,MECHARA BRANCH
ET0010496,MEDINA BRANCH
ET0010035,MEGENAGNA BRANCH
ET0010882,MEHAL ARABSA BRANCH
ET0010849,MEHAL GERJI BRANCH
ET0010335,MEHAL MEDA BRANCH
ET0010144,MEHAL MERKATO BRANCH
ET0010824,MEHAL SAYINT BRANCH
ET0010206,MEHAL SUMMIT BRANCH
ET0010261,MEHONI BRANCH
ET0010109,MEKANESELAM BRANCH
ET0010161,MEKANISSA BRANCH
ET0010476,MEKANISSA MAZORIA BR
ET0010880,MEKDELA BRANCH
ET0010190,MEKELLE BRANCH
ET0010112,MEKET BRANCH
